Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
Visit,media/calais-64.jpg,,,40x40,Breslin Center,media/calais.jpg,The northern end of the East Coast Greenway. <a href='https://www.greenway.org/stories/maine-to-new-hampshire-week-1-east-coast-river-relay' target='_blank'>Read more</a>. Photo by ECG.,"534 Birch Rd, East Lansing, MI 48824",42.728227,-84.492396
Visit,media/delaware-64.jpg,,,40x40,Rick's American Cafe,media/delaware.jpg,Walk or bike on <a href='https://www.delawaregreenways.org/portfolio_page/jackamarkell-trail/' target='_blank'>Jack Markell trail</a> on the East Coast Greenway.,"224 Abbot Rd, East Lansing, MI 48823",42.73584726,-84.4836365
Visit,media/ecg-logo-64.png,,,40x40,Wharton Center,media/ecg-logo.png,Visit <a href='https://greenway.org' target='_blank'>Greenway.org</a> and view <a href='https://www.greenway.org/route-map' target='_blank'>the official map</a>.,"750 E Shaw Ln, East Lansing, MI 48824",42.72399499,-84.47072575
Food,fa-ice-cream,green,white,,Spartan Stadium,media/icecream.jpg,Visit <a href='https://capitalicecream.com' target='_blank'>Capital Ice Cream in Hartford CT</a> and see more <a href='https://www.greenway.org/stories/churning-up-an-appetite-favorite-ice-cream-shops-along-the-east-coast-greenway' target='_blank'>favorite ice cream stops on the East Coast Greenway</a>.,"325 W Shaw Ln, East Lansing, MI 48824",42.72843052,-84.48484401
Food,fa-coffee,green,white,,Ovation,media/coffee.png,Visit <a href='https://www.sentientbean.com' target='_blank'>Sentient Bean</a> and see more <a href='https://www.greenway.org/stories/caffeinate-your-ride-coffee-shops-along-the-greenway' target='_blank'>favorite coffee shops on the Greenway</a>.,"500 S Washington Ave, Lansing, MI 48933",42.72805113,-84.55280878
Visit,media/keywest-64.jpg,,,40x40,Mac's Bar,media/keywest.jpg,The southern end of the East Coast Greenway.,"2700 E Michigan Ave, Lansing, MI 48912",42.73380546,-84.51358694
,,,,,Mash Bar,,,"212 Albert St, East Lansing, MI 48823",42.73598573,-84.48163211
,,,,,David Bowie Memorial Coop,,,"711 W Grand River Ave, East Lansing, MI 48823",42.73769971,-84.49272554
,,,,,Moriarty's Pub,,,"802 E Michigan Ave, Lansing, MI 48912",42.73352281,-84.54073914
,,,,,The Green Door,,,"2005 E Michigan Ave, Lansing, MI 48912",42.73427601,-84.5222815
,,,,,The Loft,,,"3034 Centre Blvd, Lansing, MI 48912",42.73356373,-84.54754869
,,,,,Small Planet (1),,,"3433 E Michigan Ave, Lansing, MI 48912",42.73468356,-84.50128837
,,,,,Bailey Community Center,,,"300 Bailey St, East Lansing, MI 48823",42.73586191,-84.47580436
,,,,,MSU International Center,,,"427 N Shaw Ln, East Lansing, MI 48824",42.72663305,-84.4810893
,,,,,MSU Union,,,"49 Abbot Rd, East Lansing, MI 48824",42.73430581,-84.48286232
,,,,,,,,,,
,,,,,Common Ground Coffee House,,,"908 Akers Rd, East Lansing, MI 48825",42.72481144,-84.46485817
,,,,,Small Planet (2),,,"16800 Chandler Rd, East Lansing, Michigan",42.77283461,-84.48528037
,,,,,MSU Muilticultural Center,,,"535 N Shaw Ln, East Lansing, MI 48824",42.72634541,-84.47721931
,,,,,Landshark Bar & Grill,,,"101 E Grand River Ave, East Lansing, MI 48823",42.73533217,-84.48358438
,,,,,P.T. O'Malley's,,,"210 Abbot Rd, East Lansing, MI 48823",42.73546946,-84.48366939
,,,,,The Riv,,,"231 M. A. C. Ave, East Lansing, MI 48823",42.73543914,-84.48132571
,,,,,UrbanBeat,,,"1213 Turner Rd, Lansing, MI 48906",42.74797101,-84.54983265
,,,,,Nuthouse Sports Grill,,,"420 E Michigan Ave, Lansing, MI 48933",42.7334007,-84.5470649
,,,,,(SCENE) Metrospace,,,"110 Charles St, East Lansing, MI 48823",42.73491615,-84.47921024
,,,,,Temple Club,,,"500 E. Grand River Lansing, MI 48906",42.74710938,-84.54608467
,,,,,The Junction,,,"410 S Clippert St. Lansing, MI 48912",42.72946691,-84.5088758
,,,,,Green Dot Stables,,,"410 S Clippert St. Lansing, MI 48912",42.72946691,-84.5088758
,,,,,Grewal Hall,,,"224 S Washington Square, Lansing, MI 48933",42.73166448,-84.55251567
,,,,,Spiral Video Dance Bar,,,"1247 Center St, Lansing, MI 48906",42.7496505,-84.54834623
,,,,,Dagwoods Tavern & Grill,,,"2803 E Kalamazoo St, Lansing, MI 48912",42.73011132,-84.51165649
